total_time,lookup_time_total_ns,lookup_n,add_time_total_ns,add_n,lookup_time_avg_ns,add_time_avg_ns,n,strategy
0.003922099000000068,1413046.0,506,809985.0,310,2792.581027667984,2612.8548387096776,250,unsorted_table_map
0.0029523559999999893,864103.0,506,472268.0,310,1707.7134387351778,1523.4451612903226,250,sorted_table_map
0.005524191999999983,2639936.0,506,1399050.0,310,5217.264822134387,4513.064516129032,250,bst
0.005944602000000021,2249802.0,506,2063120.0,310,4446.249011857708,6655.225806451613,250,avl_tree
0.003102145999999917,659281.0,506,750132.0,310,1302.9268774703557,2419.7806451612905,250,chain_hashmap
0.003024801999999993,731944.0,506,686092.0,310,1446.5296442687747,2213.2,250,probe_hashmap
0.0020469720000000358,329436.0,506,186525.0,310,651.0592885375494,601.6935483870968,250,builtin_dict
0.010055138000000019,4366696.0,1108,2171288.0,540,3941.061371841155,4020.9037037037037,500,unsorted_table_map
0.006061376999999979,2041215.0,1108,884629.0,540,1842.2518050541516,1638.2018518518519,500,sorted_table_map
0.012116958999999983,6354633.0,1108,2718224.0,540,5735.22833935018,5033.748148148148,500,bst
0.012331093000000015,5486810.0,1108,3680753.0,540,4951.9945848375455,6816.209259259259,500,avl_tree
0.005929209000000046,1399912.0,1108,1361791.0,540,1263.4584837545126,2521.8351851851853,500,chain_hashmap
0.00593163699999999,1507999.0,1108,1243234.0,540,1361.0099277978338,2302.285185185185,500,probe_hashmap
0.0041733139999999835,708096.0,1108,316896.0,540,639.0758122743682,586.8444444444444,500,builtin_dict
0.016162976999999912,7825335.0,1770,3609957.0,740,4421.093220338983,4878.32027027027,750,unsorted_table_map
0.009365119000000033,3402134.0,1770,1259165.0,740,1922.109604519774,1701.5743243243244,750,sorted_table_map
0.019290048000000004,10791325.0,1770,3921862.0,740,6096.793785310734,5299.8135135135135,750,bst
0.019269724000000044,9184569.0,1770,5171843.0,740,5189.022033898305,6988.977027027027,750,avl_tree
0.009793501999999954,2316937.0,1770,2290539.0,740,1309.0039548022598,3095.322972972973,750,chain_hashmap
0.009650182000000007,2474544.0,1770,2159541.0,740,1398.0474576271185,2918.298648648649,750,probe_hashmap
0.006389226999999997,1147929.0,1770,438789.0,740,648.5474576271187,592.9581081081081,750,builtin_dict
0.023985809000000025,12264952.0,2371,5288709.0,889,5172.902572754112,5949.053993250844,1000,unsorted_table_map
0.012781485999999953,4839220.0,2371,1587397.0,889,2041.0037958667228,1785.5984251968505,1000,sorted_table_map
0.02611002299999987,14914419.0,2371,4893594.0,889,6290.349641501476,5504.605174353206,1000,bst
0.02586764400000008,12956373.0,2371,6499640.0,889,5464.51834668916,7311.181102362205,1000,avl_tree
0.012043524999999944,2962561.0,2371,2461887.0,889,1249.4985238296078,2769.2767154105736,1000,chain_hashmap
0.011853078999999989,3186053.0,2371,2272873.0,889,1343.7591733445804,2556.6625421822273,1000,probe_hashmap
0.007973636000000006,1502742.0,2371,516890.0,889,633.8009278785323,581.4285714285714,1000,builtin_dict
0.040693538000000196,17986152.0,3051,7611630.0,1063,5895.166175024582,7160.517403574789,1250,unsorted_table_map
0.016436230999999912,6383310.0,3051,1950158.0,1063,2092.20255653884,1834.5794920037629,1250,sorted_table_map
0.033780957000000056,19853500.0,3051,6119361.0,1063,6507.210750573582,5756.689557855127,1250,bst
0.03542703600000019,18682226.0,3051,8328201.0,1063,6123.312356604392,7834.619943555974,1250,avl_tree
0.014849721999999899,3861742.0,3051,2709329.0,1063,1265.7299246148805,2548.757290686736,1250,chain_hashmap
0.014726601000000006,4127770.0,3051,2514549.0,1063,1352.923631596198,2365.5211665098777,1250,probe_hashmap
0.010127859000000017,1955523.0,3051,629310.0,1063,640.944936086529,592.0131702728128,1250,builtin_dict
0.04151550199999998,22243203.0,3704,9186443.0,1210,6005.1843952483805,7592.101652892562,1500,unsorted_table_map
0.019737974000000102,7822213.0,3704,2242541.0,1210,2111.828563714903,1853.3396694214875,1500,sorted_table_map
0.04089977900000008,24217819.0,3704,7080390.0,1210,6538.288066954644,5851.561983471074,1500,bst
0.039228351999999855,21024176.0,3704,8916369.0,1210,5676.07343412527,7368.9,1500,avl_tree
0.01729785000000006,4636934.0,3704,2914838.0,1210,1251.872030237581,2408.9570247933884,1500,chain_hashmap
0.017346475999999944,5001019.0,3704,2724270.0,1210,1350.1671166306696,2251.4628099173556,1500,probe_hashmap
0.012296686999999862,2383063.0,3704,722583.0,1210,643.3755399568034,597.1760330578512,1500,builtin_dict
0.05213481599999992,29361141.0,4384,10985756.0,1330,6697.340556569343,8259.966917293234,1750,unsorted_table_map
0.026408938999999965,10822737.0,4384,2739911.0,1330,2468.6900091240877,2060.0834586466167,1750,sorted_table_map
0.047874289999999986,29066205.0,4384,7865730.0,1330,6630.065009124088,5914.082706766917,1750,bst
0.04531697000000001,24637716.0,4384,9728846.0,1330,5619.916970802919,7314.921804511278,1750,avl_tree
0.021362169000000097,5458860.0,4384,4539950.0,1330,1245.177919708029,3413.496240601504,1750,chain_hashmap
0.02091101399999995,5756801.0,4384,4044992.0,1330,1313.1389142335765,3041.3473684210526,1750,probe_hashmap
0.02479603000000008,2816577.0,4384,798153.0,1330,642.4673813868613,600.115037593985,1750,builtin_dict
0.05982773500000005,34517911.0,5091,12394918.0,1415,6780.182871734433,8759.659363957597,2000,unsorted_table_map
0.026182782999999876,11018271.0,5091,2673644.0,1415,2164.26458456099,1889.5010600706714,2000,sorted_table_map
0.054962919000000054,34094750.0,5091,8328319.0,1415,6697.06344529562,5885.737809187279,2000,bst
