date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
2018/12/13,lu,30,6291,3ee8Jmje8o58CHK66QrVC2,['XXXTENTACION'],"['miami hip hop', 'emo rap']",166605,True,SAD!
2019/09/05,ie,33,127125,5DqdesEfbRyOlSS3Tf6c29,['Ali Gatie'],"['canadian hip hop', 'pop']",212606,False,It's You
2019/07/18,fr,74,447721,5fW4TKcWuk4hgasD60JyZv,['Marwa Loud'],"['pop urbaine', 'francoton']",173184,False,Oh la folle
2017/12/21,dk,200,75671,1P6tXS8VZkZV8rOw51PA67,['NOAH'],['danish pop'],227419,False,Tag Mig Tilbage
2016/05/26,ec,99,12550,498YWgZPJWIA4lphXtCNma,"['De La Ghetto', 'Mambo Kingz', 'DJ Luian', 'Arcangel', 'Ozuna', 'Anuel AA']","['latin hip hop', 'reggaeton', 'puerto rican pop', 'trap boricua', 'reggaeton flow', 'trap latino']",334924,True,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)"
2016/10/13,py,33,19627,5aAx2yezTd8zXrkmtKl66Z,"['The Weeknd', 'Daft Punk']","['pop', 'filter house', 'canadian pop', 'canadian contemporary r&b', 'electro']",230453,True,Starboy
2020/11/19,do,157,12905,2Em9XZZw8yEgxjojjGxntN,"['Rauw Alejandro', 'Trippie Redd']","['puerto rican pop', 'trap', 'trap latino', 'rap', 'melodic rap']",222490,True,Un Sueño (feat. Trippie Redd)
2019/12/19,gr,128,17380,47ohYW8e7dxCYn9qbUMBCI,['Darlene Love'],"['brill building pop', 'adult standards']",166453,False,Christmas (Baby Please Come Home)
2020/12/31,ua,96,20502,7iUh1Z9FGlCtg1rXTC10IV,['DJ SMASH'],"['russian pop', 'russian edm', 'russian dance', 'russian hip hop']",186467,False,БЕГИ feat. Poët
2019/07/04,il,171,16398,0dcuGoAIPAT7OrP5CGSVBA,['Dennis Lloyd'],['israeli pop'],192628,False,Leftovers
2022/10/20,fi,193,43392,48x7bmnz4ejanzkRmuTqY1,"['Nuteh Jonez', 'SHRTY']","['finnish hip hop', 'finnish trap', 'finnish drill']",135107,True,Shakira
2022/03/24,fr,66,570905,3QZ0iZsciyfyQfV0qEQgLI,"['Kim', 'Gazo']","['rap francais', 'pop urbaine', 'francoton', 'drill francais']",184847,True,Love & Lové
2018/08/30,dk,196,52621,2374M0fQpWi3dLnB54qaLX,['TOTO'],"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock', 'classic rock']",295893,False,Africa
2017/06/01,ie,58,57839,2pJZ1v8HezrAoZ0Fhzby92,['Ed Sheeran'],"['pop', 'uk pop']",237333,False,What Do I Know?
2019/08/15,py,183,15294,71iAechwVKGu26pahzFL0k,['Morat'],"['colombian pop', 'latin pop']",219586,False,Cuando Nadie Ve
2022/06/30,bo,122,28012,4R8BJggjosTswLxtkw8V7P,"['Jhayco', 'J Balvin', 'Bad Bunny']","['reggaeton colombiano', 'reggaeton', 'trap latino']",309120,False,No Me Conoce - Remix
2022/06/30,cr,58,61037,4MzXwWMhyBbmu6hOcLVD49,"['Bad Bunny', 'Jhay Cortez']","['reggaeton flow', 'reggaeton', 'trap latino']",205090,True,DÁKITI
2018/01/18,nl,74,286618,3B54sVLJ402zGa6Xm4YGNe,"['French Montana', 'Swae Lee']","['pop rap', 'southern hip hop', 'gangster rap', 'melodic rap', 'trap', 'hip hop', 'rap']",233901,True,Unforgettable
2020/08/13,dk,146,71159,1lht8jb3c6rEiVaqX94enH,['Jerome'],['german house'],185915,False,Light
2016/07/28,nz,129,25906,7wqSzGeodspE3V6RBD5W8L,"['Wiz Khalifa', 'Charlie Puth']","['pop rap', 'southern hip hop', 'pop', 'viral pop', 'pittsburgh rap', 'dance pop', 'trap', 'hip hop', 'rap']",229525,False,See You Again (feat. Charlie Puth)
